"Report Date","Age","Cases","Rate per 100k"
2020-05-05,"65-84 years",7,2.24
2020-05-06,"1-14 years",12,1.65
2020-05-06,"15-24 years",18,3.53
2020-05-06,"25-44 years",60,6.67
2020-05-06,"45-64 years",33,5.3
2020-05-06,"65-84 years",3,0.96
2020-05-06,"85+ years",2,5.29
2020-05-07,"1-14 years",10,1.37
2020-05-07,"15-24 years",34,6.67
2020-05-07,"25-44 years",83,9.23
2020-05-07,"45-64 years",50,8.03
2020-05-07,"65-84 years",12,3.84
2020-05-07,"85+ years",5,13.24
2020-05-08,"0-1 years",2,3.99
2020-05-08,"1-14 years",23,3.16
2020-05-08,"15-24 years",32,6.28
2020-05-08,"25-44 years",72,8
2020-05-08,"45-64 years",44,7.07
2020-05-08,"65-84 years",10,3.2
2020-05-08,"85+ years",2,5.29
2020-05-09,"1-14 years",14,1.92
2020-05-09,"15-24 years",35,6.86
2020-05-09,"25-44 years",48,5.34
2020-05-09,"45-64 years",40,6.43
2020-05-09,"65-84 years",12,3.84
2020-05-09,"85+ years",2,5.29
2020-05-10,"0-1 years",2,3.99
2020-05-10,"1-14 years",11,1.51
2020-05-10,"15-24 years",25,4.9
2020-05-10,"25-44 years",36,4
2020-05-10,"45-64 years",28,4.5
2020-05-10,"65-84 years",14,4.48
2020-05-11,"1-14 years",4,0.55
2020-05-11,"15-24 years",12,2.35
2020-05-11,"25-44 years",28,3.11
2020-05-11,"45-64 years",19,3.05
2020-05-11,"65-84 years",8,2.56
2020-05-11,"85+ years",2,5.29
2020-05-12,"1-14 years",15,2.06
2020-05-12,"15-24 years",41,8.04
2020-05-12,"25-44 years",67,7.45
2020-05-12,"45-64 years",46,7.39
2020-05-12,"65-84 years",14,4.48
2020-05-13,"0-1 years",1,1.99
2020-05-13,"1-14 years",8,1.1
2020-05-13,"15-24 years",23,4.51
2020-05-13,"25-44 years",59,6.56
2020-05-13,"45-64 years",28,4.5
2020-05-13,"65-84 years",9,2.88
2020-05-13,"85+ years",1,2.65
2020-05-14,"1-14 years",8,1.1
2020-05-14,"15-24 years",34,6.67
2020-05-14,"25-44 years",61,6.78
2020-05-14,"45-64 years",48,7.71
2020-05-14,"65-84 years",11,3.52
2020-05-14,"85+ years",2,5.29
2020-05-15,"1-14 years",8,1.1
2020-05-15,"15-24 years",26,5.1
2020-05-15,"25-44 years",57,6.34
2020-05-15,"45-64 years",47,7.55
2020-05-15,"65-84 years",14,4.48
2020-05-15,"85+ years",1,2.65
2020-05-16,"0-1 years",2,3.99
2020-05-16,"1-14 years",16,2.2
2020-05-16,"15-24 years",40,7.84
2020-05-16,"25-44 years",55,6.11
2020-05-16,"45-64 years",43,6.91
2020-05-16,"65-84 years",14,4.48
2020-05-16,"85+ years",2,5.29
2020-05-17,"1-14 years",18,2.47
2020-05-17,"15-24 years",36,7.06
2020-05-17,"25-44 years",45,5
2020-05-17,"45-64 years",34,5.46
2020-05-17,"65-84 years",14,4.48
2020-05-17,"85+ years",1,2.65
2020-05-18,"0-1 years",1,1.99
2020-05-18,"1-14 years",23,3.16
2020-05-18,"15-24 years",25,4.9
2020-05-18,"25-44 years",46,5.11
2020-05-18,"45-64 years",32,5.14
2020-05-18,"65-84 years",6,1.92
2020-05-18,"85+ years",4,10.59
2020-05-19,"1-14 years",12,1.65
2020-05-19,"15-24 years",53,10.39
2020-05-19,"25-44 years",61,6.78
2020-05-19,"45-64 years",51,8.19
2020-05-19,"65-84 years",18,5.76
2020-05-19,"85+ years",4,10.59
2020-05-20,"1-14 years",6,0.82
2020-05-20,"15-24 years",19,3.73
2020-05-20,"25-44 years",69,7.67
2020-05-20,"45-64 years",54,8.68
2020-05-20,"65-84 years",10,3.2
2020-05-20,"85+ years",2,5.29
2020-05-21,"0-1 years",1,1.99
2020-05-21,"1-14 years",14,1.92
2020-05-21,"15-24 years",45,8.83
2020-05-21,"25-44 years",76,8.45
2020-05-21,"45-64 years",48,7.71
2020-05-21,"65-84 years",9,2.88
2020-05-21,"85+ years",1,2.65
2020-05-22,"1-14 years",9,1.24
2020-05-22,"15-24 years",43,8.43
2020-05-22,"25-44 years",69,7.67
2020-05-22,"45-64 years",44,7.07
2020-05-22,"65-84 years",15,4.8
2020-05-22,"85+ years",3,7.94
2020-05-23,"0-1 years",1,1.99
2020-05-23,"1-14 years",14,1.92
2020-05-23,"15-24 years",18,3.53
2020-05-23,"25-44 years",59,6.56
2020-05-23,"45-64 years",37,5.95
2020-05-23,"65-84 years",10,3.2
2020-05-23,"85+ years",1,2.65
2020-05-24,"0-1 years",1,1.99
2020-05-24,"1-14 years",14,1.92
2020-05-24,"15-24 years",27,5.3
2020-05-24,"25-44 years",46,5.11
2020-05-24,"45-64 years",36,5.78
2020-05-24,"65-84 years",6,1.92
2020-05-24,"85+ years",1,2.65
2020-05-25,"1-14 years",5,0.69
2020-05-25,"15-24 years",24,4.71
2020-05-25,"25-44 years",32,3.56
2020-05-25,"45-64 years",25,4.02
2020-05-25,"65-84 years",8,2.56
2020-05-25,"85+ years",1,2.65
2020-05-26,"0-1 years",1,1.99
2020-05-26,"1-14 years",10,1.37
2020-05-26,"15-24 years",12,2.35
2020-05-26,"25-44 years",33,3.67
2020-05-26,"45-64 years",20,3.21
2020-05-26,"65-84 years",6,1.92
2020-05-26,"85+ years",3,7.94
2020-05-27,"0-1 years",1,1.99
2020-05-27,"1-14 years",9,1.24
2020-05-27,"15-24 years",35,6.86
